Id_Hecho,Sexo,Edad
2016-0001,MASCULINO,19
2016-0002,MASCULINO,70
2016-0003,MASCULINO,30
2016-0004,MASCULINO,18
2016-0005,MASCULINO,29
2016-0008,MASCULINO,30
2016-0009,MASCULINO,29
2016-0010,MASCULINO,18
2016-0012,MASCULINO,22
2016-0013,MASCULINO,16
2016-0015,FEMENINO,16
2016-0016,FEMENINO,19
2016-0017,MASCULINO,59
2016-0019,FEMENINO,65
2016-0020,MASCULINO,59
2016-0021,MASCULINO,34
2016-0022,MASCULINO,41
2016-0025,MASCULINO,34
2016-0026,MASCULINO,30
2016-0027,MASCULINO,34
2016-0028,MASCULINO,50
2016-0029,MASCULINO,38
2016-0031,MASCULINO,21
2016-0034,MASCULINO,52
2016-0035,MASCULINO,34
2016-0036,MASCULINO,36
2016-0037,MASCULINO,20
2016-0038,MASCULINO,29
2016-0039,MASCULINO,20
2016-0041,MASCULINO,54
2016-0043,FEMENINO,56
2016-0044,MASCULINO,24
2016-0047,MASCULINO,41
2016-0050,MASCULINO,78
2016-0051,MASCULINO,36
2016-0053,MASCULINO,38
2016-0054,MASCULINO,30
2016-0055,MASCULINO,79
2016-0056,MASCULINO,26
2016-0058,FEMENINO,57
2016-0059,MASCULINO,37
2016-0064,MASCULINO,20
2016-0065,MASCULINO,20
2016-0067,FEMENINO,30
2016-0068,MASCULINO,58
2016-0069,MASCULINO,30
2016-0073,MASCULINO,23
2016-0074,MASCULINO,60
2016-0075,MASCULINO,42
2016-0076,FEMENINO,53
2016-0078,MASCULINO,30
2016-0079,FEMENINO,51
2016-0080,MASCULINO,60
2016-0081,MASCULINO,40
2016-0082,MASCULINO,87
2016-0083,FEMENINO,76
2016-0084,MASCULINO,57
2016-0086,MASCULINO,75
2016-0087,MASCULINO,23
2016-0088,FEMENINO,70
2016-0089,MASCULINO,35
2016-0090,MASCULINO,60
2016-0092,MASCULINO,24
2016-0093,MASCULINO,35
2016-0095,MASCULINO,29
2016-0097,MASCULINO,80
2016-0098,FEMENINO,43
2016-0099,MASCULINO,45
2016-0100,MASCULINO,57
2016-0101,MASCULINO,67
2016-0102,MASCULINO,29
2016-0104,MASCULINO,21
2016-0105,MASCULINO,19
2016-0106,MASCULINO,38
2016-0107,MASCULINO,21
2016-0109,FEMENINO,53
2016-0110,MASCULINO,57
2016-0111,MASCULINO,27
2016-0112,MASCULINO,24
2016-0113,FEMENINO,60
2016-0114,FEMENINO,55
2016-0116,MASCULINO,30
2016-0117,MASCULINO,43
2016-0118,MASCULINO,27
2016-0122,MASCULINO,49
2016-0123,FEMENINO,58
2016-0124,MASCULINO,67
2016-0125,MASCULINO,30
2016-0126,MASCULINO,37
2016-0127,MASCULINO,50
2016-0128,FEMENINO,81
2016-0130,MASCULINO,29
2016-0131,MASCULINO,35
2016-0132,MASCULINO,30
2016-0133,MASCULINO,41
2016-0134,MASCULINO,25
2016-0135,MASCULINO,29
2016-0137,MASCULINO,30
2016-0138,FEMENINO,33
2016-0139,FEMENINO,35
2016-0140,MASCULINO,20
2016-0142,MASCULINO,46
2016-0143,MASCULINO,35
2016-0144,MASCULINO,83
2016-0145,MASCULINO,39
2016-0146,FEMENINO,29
2016-0147,MASCULINO,55
2016-0150,MASCULINO,41
2016-0152,MASCULINO,42
2016-0153,FEMENINO,83
2016-0154,MASCULINO,38
2016-0155,FEMENINO,29
