Id_Hecho,Sexo,Edad
LC-2019-0000053,MASCULINO,57
LC-2019-0000082,MASCULINO,45
LC-2019-0000082,FEMENINO,45
LC-2019-0000082,MASCULINO,27
LC-2019-0000082,FEMENINO,32
LC-2019-0000136,MASCULINO,21
LC-2019-0000136,FEMENINO,21
LC-2019-0000142,MASCULINO,37
LC-2019-0000194,FEMENINO,33
LC-2019-0000202,MASCULINO,25
LC-2019-0000329,MASCULINO,23
LC-2019-0000445,MASCULINO,42
LC-2019-0000445,FEMENINO,42
LC-2019-0000445,MASCULINO,37
LC-2019-0000493,MASCULINO,53
LC-2019-0000600,FEMENINO,1
LC-2019-0000636,FEMENINO,62
LC-2019-0000686,FEMENINO,67
LC-2019-0005235,FEMENINO,75
LC-2019-0000928,FEMENINO,40
LC-2019-0000963,FEMENINO,48
LC-2019-0000963,MASCULINO,48
LC-2019-0000963,FEMENINO,27
LC-2019-0000963,FEMENINO,3
LC-2019-0000963,FEMENINO,33
LC-2019-0001754,FEMENINO,49
LC-2019-0547054,MASCULINO,25
LC-2019-0001992,MASCULINO,34
LC-2019-0002083,MASCULINO,27
LC-2019-0002208,MASCULINO,34
LC-2019-0002218,MASCULINO,52
LC-2019-0002740,MASCULINO,44
LC-2019-0003220,FEMENINO,28
LC-2019-0003220,MASCULINO,28
LC-2019-0005610,MASCULINO,59
LC-2019-0020183,MASCULINO,50
LC-2019-0022496,MASCULINO,73
LC-2019-0003428,MASCULINO,45
LC-2019-0816662,MASCULINO,26
LC-2019-0025711,MASCULINO,32
LC-2019-0003642,MASCULINO,51
LC-2019-0003787,MASCULINO,48
LC-2019-0003862,FEMENINO,37
LC-2019-0003862,MASCULINO,37
LC-2019-0004144,MASCULINO,16
LC-2019-0004229,FEMENINO,43
LC-2019-0004442,FEMENINO,38
LC-2019-0004442,MASCULINO,38
LC-2019-0004652,MASCULINO,28
LC-2019-0004717,MASCULINO,45
LC-2019-0004718,MASCULINO,51
LC-2019-0005334,MASCULINO,33
LC-2019-0005614,MASCULINO,43
LC-2019-0005622,FEMENINO,64
LC-2019-0005638,MASCULINO,36
LC-2019-0005638,FEMENINO,36
LC-2019-0005647,MASCULINO,45
LC-2019-0005764,MASCULINO,84
LC-2019-0005815,MASCULINO,22
LC-2019-0005979,MASCULINO,26
LC-2019-0654194,MASCULINO,32
LC-2019-0006068,FEMENINO,20
LC-2019-0006547,MASCULINO,38
LC-2019-0006638,MASCULINO,37
LC-2019-0006638,MASCULINO,37
LC-2019-0006659,MASCULINO,48
LC-2019-0006789,FEMENINO,5
LC-2019-0007021,MASCULINO,34
LC-2019-0007294,MASCULINO,39
LC-2019-0007536,FEMENINO,28
LC-2019-0007660,MASCULINO,23
LC-2019-0007701,MASCULINO,34
LC-2019-0007778,FEMENINO,56
LC-2019-0008077,FEMENINO,44
LC-2019-0008227,FEMENINO,26
LC-2019-0008238,FEMENINO,69
LC-2019-0008238,FEMENINO,69
LC-2019-0008283,MASCULINO,26
LC-2019-0008283,FEMENINO,26
LC-2019-0008314,FEMENINO,55
