Año,Edad,Total,Varones,Mujeres
2021,0,40225.451199999996,20736.64,19488.8112
2021,1,40404.072,20808.048,19596.024
2021,2,40515.335999999996,20851.016,19664.32
2021,3,40566.464,20868.168,19698.296
2021,4,40564.6768,20862.128,19702.5488
2021,5,40517.1952,20835.52,19681.6752
2021,6,40431.240000000005,20790.968,19640.272
2021,7,40314.03200000001,20731.096,19582.936
2021,8,40172.792,20658.528,19514.264
2021,9,40014.7408,20575.888,19438.8528
2021,10,39834.4928,20480.152,19354.3408
2021,11,39626.6624,20368.296,19258.3664
2021,12,39461.5024,20271.184,19190.3184
2021,13,39371.4464,20202.736,19168.7104
2021,14,39325.896,20148.632,19177.264
2021,15,39301.0864,20102.0624,19199.024
2021,16,39348.8912,20090.1056,19258.7856
2021,17,39253.2672,19993.1136,19260.1536
2021,18,38919.5232,19759.1536,19160.3696
2021,19,38476.232,19458.5648,19017.6672
2021,20,38108.7024,19195.1984,18913.504
2021,21,37734.3264,18926.1792,18808.1472
2021,22,37733.8304,18847.7392,18886.0912
2021,23,38300.9264,19061.0112,19239.9152
2021,24,39243.2144,19467.872,19775.3424
2021,25,40151.7568,19858.0224,20293.7344
2021,26,41080.9504,20260.2704,20820.68
2021,27,41994.4144,20659.1584,21335.256
2021,28,42823.9344,21021.5104,21802.424
2021,29,43576.944,21351.0384,22225.9056
2021,30,44341.256,21689.088,22652.168
2021,31,45113.9056,22032.7392,23081.1664
2021,32,45681.9856,22286.0672,23395.9184
2021,33,45952.6896,22407.0272,23545.6624
2021,34,46008.163199999995,22431.0784,23577.0848
2021,35,46018.8208,22432.5664,23586.2544
2021,36,45945.134399999995,22392.832,23552.3024
2021,37,45847.7904,22338.912,23508.8784
2021,38,45772.3584,22290.496,23481.8624
2021,39,45680.89599999999,22229.1936,23451.7024
2021,40,45478.0016,22112.6528,23365.3488
2021,41,45168.488,21944.2176,23224.2704
2021,42,44801.28,21733.9136,23067.3664
2021,43,44386.544,21480.8096,22905.7344
2021,44,43897.6864,21178.4064,22719.28
2021,45,43354.5408,20848.2768,22506.264
2021,46,42821.052800000005,20518.6752,22302.3776
2021,47,41950.2688,20029.3792,21920.8896
2021,48,40593.332800000004,19313.2912,21280.0416
2021,49,38943.8048,18460.3776,20483.4272
2021,50,37336.128,17623.0432,19713.0848
2021,51,35693.846399999995,16765.216,18928.6304
2021,52,34327.9024,16041.624,18286.2784
2021,53,33424.0224,15543.008,17881.0144
2021,54,32845.1008,15201.1088,17643.992
2021,55,32234.056,14842.248,17391.808
2021,56,31621.2048,14483.5472,17137.6576
2021,57,31194.5248,14202.2432,16992.2816
2021,58,30998.5968,14013.7152,16984.8816
2021,59,30946.6176,13883.2464,17063.3712
2021,60,30915.9376,13764.6832,17151.2544
2021,61,30941.568,13671.9872,17269.5808
2021,62,30800.616,13507.3952,17293.2208
2021,63,30372.863999999998,13218.9872,17153.8768
2021,64,29753.0144,12847.9472,16905.0672
2021,65,29150.257599999997,12485.3232,16664.9344
2021,66,28515.879999999997,12110.4384,16405.4416
2021,67,27887.952,11738.6064,16149.3456
2021,68,27304.136,11385.7664,15918.3696
2021,69,26729.7744,11037.8656,15691.9088
2021,70 y más,370690.0,131737.0,238953.0
