,Id,semaforo_15m
0,2016-0001,True
1,2016-0002,False
2,2016-0003,False
3,2016-0005,True
4,2016-0008,False
5,2016-0009,False
6,2016-0010,False
7,2016-0012,True
8,2016-0013,False
9,2016-0015,True
10,2016-0016,True
11,2016-0017,True
12,2016-0019,True
13,2016-0020,False
14,2016-0021,True
15,2016-0022,True
16,2016-0025,False
17,2016-0026,False
18,2016-0027,True
19,2016-0028,True
20,2016-0029,True
21,2016-0031,False
22,2016-0034,False
23,2016-0035,True
24,2016-0036,True
25,2016-0037,False
26,2016-0038,False
27,2016-0039,False
28,2016-0041,True
29,2016-0043,False
30,2016-0044,True
31,2016-0047,False
32,2016-0048,True
33,2016-0050,True
34,2016-0051,False
35,2016-0053,True
36,2016-0054,False
37,2016-0055,True
38,2016-0056,False
39,2016-0058,False
40,2016-0059,False
41,2016-0064,True
42,2016-0065,True
43,2016-0067,False
44,2016-0068,False
45,2016-0069,False
46,2016-0073,False
47,2016-0074,False
48,2016-0075,True
49,2016-0076,True
50,2016-0077,False
51,2016-0078,True
52,2016-0079,False
53,2016-0081,False
54,2016-0082,False
55,2016-0083,True
56,2016-0084,True
57,2016-0085,False
58,2016-0086,True
59,2016-0087,False
60,2016-0088,False
61,2016-0089,False
62,2016-0090,True
63,2016-0092,False
64,2016-0093,True
65,2016-0095,True
66,2016-0096,False
67,2016-0097,True
68,2016-0098,True
69,2016-0099,False
70,2016-0100,False
71,2016-0102,False
72,2016-0104,False
73,2016-0105,True
74,2016-0106,True
75,2016-0107,False
76,2016-0109,False
77,2016-0111,False
78,2016-0112,False
79,2016-0113,True
80,2016-0114,False
81,2016-0116,False
82,2016-0117,True
83,2016-0118,False
84,2016-0122,False
85,2016-0123,False
86,2016-0124,True
87,2016-0125,False
88,2016-0126,True
89,2016-0127,True
90,2016-0128,True
91,2016-0130,False
92,2016-0131,False
93,2016-0132,True
94,2016-0133,True
95,2016-0134,True
96,2016-0137,True
97,2016-0138,True
98,2016-0139,False
99,2016-0140,True
100,2016-0142,True
101,2016-0144,False
102,2016-0145,True
103,2016-0146,True
104,2016-0147,True
105,2016-0148,False
106,2016-0150,False
107,2016-0152,True
108,2016-0153,True
109,2016-0154,False
110,2016-0155,False
111,2016-0156,True
112,2016-0157,False
113,2016-0160,False
114,2016-0161,True
115,2016-0162,True
116,2016-0163,False
117,2016-0164,False
118,2016-0165,False
119,2016-0168,False
120,2016-0169,True
121,2016-0170,False
122,2016-0171,True
123,2016-0172,True
124,2016-0173,True
125,2016-0175,True
126,2016-0176,True
127,2016-0177,False
128,2016-0178,True
129,2017-0001,False
130,2017-0003,True
131,2017-0007,True
132,2017-0008,False
133,2017-0009,False
134,2017-0010,True
135,2017-0011,False
136,2017-0012,False
137,2017-0013,False
138,2017-0014,True
139,2017-0015,True
140,2017-0016,False
141,2017-0017,True
142,2017-0018,False
143,2017-0021,True
144,2017-0024,False
145,2017-0026,True
146,2017-0027,False
147,2017-0028,True
148,2017-0030,False
149,2017-0031,True
150,2017-0032,False
151,2017-0033,False
152,2017-0034,False
153,2017-0035,False
154,2017-0036,False
155,2017-0037,True
156,2017-0038,False
157,2017-0040,False
158,2017-0041,False
159,2017-0045,False
160,2017-0047,False
161,2017-0049,True
162,2017-0052,False
163,2017-0053,False
164,2017-0054,True
165,2017-0055,False
166,2017-0058,True
167,2017-0059,False
168,2017-0060,False
169,2017-0061,True
170,2017-0062,True
171,2017-0063,True
172,2017-0064,True
173,2017-0065,True
174,2017-0066,False
175,2017-0067,True
176,2017-0068,False
177,2017-0070,False
178,2017-0072,True
179,2017-0073,True
180,2017-0075,True
181,2017-0076,False
182,2017-0077,False
183,2017-0079,False
184,2017-0080,True
185,2017-0082,True
186,2017-0083,True
187,2017-0084,False
188,2017-0085,True
189,2017-0086,True
190,2017-0087,False
191,2017-0088,True
192,2017-0090,False
193,2017-0092,False
194,2017-0093,False
195,2017-0094,False
196,2017-0095,True
197,2017-0096,True
198,2017-0098,False
199,2017-0099,False
200,2017-0100,False
201,2017-0101,True
202,2017-0102,False
203,2017-0104,True
204,2017-0106,True
205,2017-0107,False
206,2017-0108,False
207,2017-0109,True
208,2017-0110,False
209,2017-0111,False
210,2017-0112,False
211,2017-0113,False
212,2017-0114,False
213,2017-0115,True
214,2017-0116,False
215,2017-0118,True
216,2017-0120,False
217,2017-0123,False
218,2017-0124,False
219,2017-0125,True
220,2017-0126,True
221,2017-0127,True
222,2017-0128,False
223,2017-0129,False
224,2017-0130,True
225,2017-0132,False
226,2017-0134,False
227,2017-0135,False
228,2017-0136,True
229,2017-0137,True
230,2017-0138,False
231,2017-0139,False
232,2017-0141,True
233,2017-0143,False
234,2017-0144,False
235,2017-0145,False
236,2017-0147,False
237,2017-0148,True
238,2017-0149,False
239,2017-0150,True
240,2017-0151,False
241,2017-0152,True
242,2017-0153,True
243,2017-0154,True
244,2017-0157,False
245,2017-0158,False
246,2017-0159,True
247,2017-0160,False
248,2017-0161,False
249,2018-0001,True
250,2018-0002,False
251,2018-0003,True
252,2018-0004,True
253,2018-0005,False
254,2018-0006,True
255,2018-0007,False
256,2018-0008,True
257,2018-0009,False
258,2018-0010,False
259,2018-0011,True
260,2018-0012,False
261,2018-0013,True
262,2018-0014,False
263,2018-0015,False
264,2018-0016,True
265,2018-0017,True
266,2018-0018,False
267,2018-0019,True
268,2018-0020,False
269,2018-0021,False
270,2018-0022,True
271,2018-0023,True
272,2018-0024,False
273,2018-0025,True
274,2018-0026,False
275,2018-0027,False
276,2018-0028,False
277,2018-0029,True
278,2018-0030,True
279,2018-0031,True
280,2018-0032,True
281,2018-0033,False
282,2018-0034,False
283,2018-0035,False
284,2018-0036,True
285,2018-0037,True
286,2018-0038,False
287,2018-0040,False
288,2018-0041,True
289,2018-0042,True
290,2018-0043,False
291,2018-0044,True
292,2018-0045,False
293,2018-0046,False
294,2018-0047,True
295,2018-0048,True
296,2018-0049,False
297,2018-0050,True
298,2018-0051,False
299,2018-0052,True
300,2018-0053,True
301,2018-0054,False
302,2018-0055,True
303,2018-0056,False
304,2018-0057,True
305,2018-0058,True
306,2018-0059,True
307,2018-0060,False
308,2018-0061,False
309,2018-0062,True
310,2018-0063,True
311,2018-0064,False
312,2018-0065,True
313,2018-0066,True
314,2018-0067,True
315,2018-0068,True
316,2018-0069,False
317,2018-0070,True
318,2018-0071,True
319,2018-0072,False
320,2018-0073,False
321,2018-0074,False
322,2018-0075,False
323,2018-0076,False
324,2018-0077,True
325,2018-0078,True
326,2018-0079,False
327,2018-0080,True
328,2018-0081,True
329,2018-0082,False
330,2018-0083,False
331,2018-0084,False
332,2018-0085,False
333,2018-0086,True
334,2018-0087,True
335,2018-0088,False
336,2018-0089,True
337,2018-0090,False
338,2018-0091,False
339,2018-0092,True
340,2018-0093,False
341,2018-0094,True
342,2018-0095,True
343,2018-0096,False
344,2018-0097,True
345,2018-0098,False
346,2018-0099,True
347,2018-0100,False
348,2018-0101,False
349,2018-0102,False
350,2018-0103,True
351,2018-0104,True
352,2018-0105,True
353,2018-0106,True
354,2018-0107,True
355,2018-0108,True
356,2018-0109,True
357,2018-0110,True
358,2018-0111,True
359,2018-0112,False
360,2018-0113,False
361,2018-0114,True
362,2018-0115,False
363,2018-0116,False
364,2018-0117,False
365,2018-0118,True
366,2018-0120,True
367,2018-0121,True
368,2018-0122,False
369,2018-0124,False
370,2018-0125,False
371,2018-0126,False
372,2018-0127,False
373,2018-0128,False
374,2018-0129,True
375,2018-0130,True
376,2018-0131,False
377,2018-0132,False
378,2018-0133,True
379,2018-0134,True
380,2018-0135,True
381,2018-0136,False
382,2018-0137,True
383,2018-0138,False
384,2018-0139,False
385,2018-0140,False
386,2018-0141,True
387,2018-0142,False
388,2018-0143,True
389,2019-0001,False
390,2019-0002,True
391,2019-0003,True
392,2019-0004,False
393,2019-0005,False
394,2019-0006,False
395,2019-0007,True
396,2019-0008,False
397,2019-0009,True
398,2019-0010,False
399,2019-0011,False
400,2019-0012,False
401,2019-0013,False
402,2019-0014,False
403,2019-0015,False
404,2019-0016,False
405,2019-0017,True
406,2019-0018,False
407,2019-0019,False
408,2019-0020,False
409,2019-0021,True
410,2019-0023,False
411,2019-0024,False
412,2019-0025,True
413,2019-0026,False
414,2019-0027,True
415,2019-0028,True
416,2019-0029,False
417,2019-0030,True
418,2019-0031,True
419,2019-0032,True
420,2019-0034,False
421,2019-0035,False
422,2019-0036,False
423,2019-0037,True
424,2019-0038,True
425,2019-0039,True
426,2019-0041,False
427,2019-0042,False
428,2019-0043,True
