Id,N_Victimas,Fecha,Franja_Hora,Tipo_Calle,Calle,Cruce,Comuna,Longitud,Latitud,Participantes,Victima,Acusado,Dataset,semaforo_30m,semaforo_15m
2016-0001,1,2016-01-01,4,AVENIDA,PIEDRA BUENA AV.,True,8,-58.47533969,-34.68757022,MOTO-AUTO,MOTO,AUTO,homicidio,True,True
2016-0002,1,2016-01-02,1,GRAL PAZ,"PAZ, GRAL. AV.",True,9,-58.50877521,-34.66977709,AUTO-PASAJEROS,AUTO,PASAJEROS,homicidio,False,False
2016-0003,1,2016-01-03,7,AVENIDA,ENTRE RIOS AV.,False,1,-58.39040293,-34.63189362,MOTO-AUTO,MOTO,AUTO,homicidio,False,False
2016-0005,1,2016-01-21,5,AVENIDA,SAN JUAN AV.,True,1,-58.38718297,-34.6224663,MOTO-PASAJEROS,MOTO,PASAJEROS,homicidio,True,True
2016-0008,1,2016-01-24,18,AVENIDA,27 DE FEBRERO AV.,True,8,-58.44451316,-34.68475866,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,homicidio,False,False
2016-0009,1,2016-01-24,19,CALLE,NOGOYA,True,11,-58.50095869,-34.6082544,MOTO-AUTO,MOTO,AUTO,homicidio,False,False
2016-0010,1,2016-01-29,15,GRAL PAZ,"PAZ, GRAL. AV.",True,9,-58.50877521,-34.66977709,MOTO-AUTO,MOTO,AUTO,homicidio,False,False
2016-0012,1,2016-02-08,1,AVENIDA,BELGRANO AV.,True,1,-58.38048577,-34.61303893,MOTO-CARGAS,MOTO,CARGAS,homicidio,True,True
2016-0013,1,2016-02-10,11,AVENIDA,ENTRE RIOS AV.,False,1,-58.39114932,-34.62477387,PEATON-AUTO,PEATON,AUTO,homicidio,False,False
2016-0015,1,2016-02-14,5,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",True,15,-58.4376002,-34.59912758,PEATON-AUTO,PEATON,AUTO,homicidio,True,True
2016-0016,1,2016-02-14,22,AVENIDA,REGIMIENTO DE PATRICIOS AV.,True,4,-58.36882665,-34.64291993,MOTO-AUTO,MOTO,AUTO,homicidio,True,True
2016-0017,1,2016-02-15,16,AVENIDA,"ACOSTA, MARIANO",True,8,-58.44989671,-34.65970435,PEATON-MOTO,PEATON,MOTO,homicidio,True,True
2016-0019,1,2016-02-17,9,CALLE,"DE LA TORRE, LISANDRO",True,9,-58.50990884,-34.65468721,PEATON-PASAJEROS,PEATON,PASAJEROS,homicidio,True,True
2016-0020,1,2016-02-17,16,CALLE,SUIPACHA,False,1,-58.37952223,-34.60653282,PEATON-AUTO,PEATON,AUTO,homicidio,False,False
2016-0021,1,2016-02-17,23,AVENIDA,DIRECTORIO AV.,True,7,-58.45157703,-34.63063795,AUTO-AUTO,AUTO,AUTO,homicidio,True,True
2016-0022,1,2016-02-21,6,AVENIDA,9 DE JULIO AV.,True,1,-58.38144696,-34.61079875,MOTO-AUTO,MOTO,AUTO,homicidio,True,True
2016-0025,1,2016-02-28,4,GRAL PAZ,"PAZ, GRAL. AV.",True,8,-58.46244952,-34.70524971,AUTO-AUTO,AUTO,AUTO,homicidio,False,False
2016-0026,1,2016-02-28,7,CALLE,HOLMBERG,True,12,-58.49216191,-34.54738649,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,homicidio,False,False
2016-0027,1,2016-02-28,9,AVENIDA,CURAPALIGUE AV.,True,7,-58.44497874,-34.63852623,AUTO-AUTO,AUTO,AUTO,homicidio,True,True
2016-0028,1,2016-03-02,10,AVENIDA,VIAMONTE,True,1,-58.38199706,-34.60028648,PEATON-CARGAS,PEATON,CARGAS,homicidio,True,True
2016-0029,1,2016-03-04,17,AVENIDA,CABILDO AV.,True,12,-58.47378664,-34.54153077,PEATON-PASAJEROS,PEATON,PASAJEROS,homicidio,True,True
2016-0031,1,2016-03-08,12,GRAL PAZ,"PAZ, GRAL. AV.",True,8,-58.47064556,-34.69843756,MOTO-PASAJEROS,MOTO,PASAJEROS,homicidio,False,False
2016-0034,1,2016-03-12,12,AVENIDA,"ALCORTA, AMANCIO AV.",True,4,-58.40623949,-34.65076549,PEATON-PASAJEROS,PEATON,PASAJEROS,homicidio,False,False
2016-0035,1,2016-03-13,6,AVENIDA,CORRIENTES AV.,True,3,-58.39228965,-34.60443527,MOTO-PASAJEROS,MOTO,PASAJEROS,homicidio,True,True
2016-0036,1,2016-03-14,0,CALLE,HERRERA,True,4,-58.37813396,-34.63668504,MOTO-PASAJEROS,MOTO,PASAJEROS,homicidio,True,True
2016-0037,1,2016-03-19,11,AVENIDA,LAFUENTE AV.,True,7,-58.46275892,-34.64358293,MOTO-MOTO,MOTO,MOTO,homicidio,False,False
2016-0038,1,2016-03-21,8,GRAL PAZ,"PAZ, GRAL. AV.",True,8,-58.49683458,-34.67892743,PEATON-PASAJEROS,PEATON,PASAJEROS,homicidio,False,False
2016-0039,1,2016-03-23,1,AVENIDA,"MITRE, BARTOLOME",True,3,-58.40603217,-34.6088396,MOTO-PASAJEROS,MOTO,PASAJEROS,homicidio,False,False
2016-0041,2,2016-03-29,11,AVENIDA,DIRECTORIO AV.,True,7,-58.4607655,-34.63350444,MOTO-CARGAS,MOTO,CARGAS,homicidio,True,True
