long,lat,n_cruce,id_codigo,fecha_inau,anio_inau,dom_orig,dom_norma,origen,observ,nro_nva,instala,horario,fecha_fina,id_usig,objeto,calle_nombre,calle_altura,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.3693183994195,-34.6092407006523,1015.0,B-CR-01015,,,Paseo Colón Av. y La Rábida,,Coordenada,Av. Paseo Colón - Nueva Rábida (Cruce nuevo a inaugurar),4.0,TITILANTE A PEDIDO DE GCBA,Titilante por obra,Hasta la finalización de Obra de Paseo del Bajo- Dic 2018,1,CRUCE SEMAFORIZADO,PASEO COLON AV.,,Monserrat,Comuna 1,,
-58.367143698973706,-34.612145101192006,1031.0,B-CR-01031,,,Belgrano Av. y Huergo Ing. Av.,,Coordenada,Huergo entre Av. Belgrano y Venezuela  (provisorio),4.0,APAGADO A PEDIDO DE GCBA,Apagado por obra,Hasta la finalización de Obra de Paseo del Bajo- Abril 2027,2,CRUCE SEMAFORIZADO,BELGRANO AV.,,Monserrat,Comuna 1,,
-58.4024239994448,-34.5899069004317,1145.0,B-CR-01145,,,Laprida 1739,,Coordenada,Laprida -Salida de Bomberos,4.0,TITILANTE CON DEMANDA,Titilante 24hs.,,3,CRUCE SEMAFORIZADO,LAPRIDA,1739,Recoleta,Comuna 2,1425,C1425EKO
-58.381459099101,-34.6237979006986,2132.0,B-CR-02132,,,Lima y Cochabamba,,Coordenada,Lima-Cochabamba,4.0,TITILANTE A PEDIDO DE GCBA,Titilante 24hs.,,4,CRUCE SEMAFORIZADO,LIMA,,Constitucion,Comuna 1,,
-58.3663254992432,-34.6192394007805,2223.0,B-CR-02223,,,Huergo Ing. Av. y Calvo Carlos,,Coordenada,Huergo- Carlos Calvo,4.0,TITILANTE A PEDIDO DE GCBA,Titilante por obra,Hasta la finalización de Obra de Paseo del Bajo- Abril 2024,5,CRUCE SEMAFORIZADO,"HUERGO, ING. AV.",,Puerto Madero,Comuna 1,,
-58.3661934986488,-34.6204183010358,2224.0,B-CR-02224,,,Huergo Ing. Av. y Humberto 1º,,Coordenada,Huergo- Humberto 1°,4.0,TITILANTE A PEDIDO DE GCBA,Titilante por obra,Hasta la finalización de Obra de Paseo del Bajo- Abril 2026,6,CRUCE SEMAFORIZADO,"HUERGO, ING. AV.",,San Telmo,Comuna 1,,
-58.3796058988856,-34.627732700481,2338.0,B-CR-02338,,,Brasil Av. y Hornos Gral.,,Coordenada,Brasil entre Gral. Hornos y Bdo. De Irigoyen (Bajo Autopista),4.0,TITILANTE A PEDIDO DE GCBA,Titilante 24hs.,,7,CRUCE SEMAFORIZADO,BRASIL,,Constitucion,Comuna 1,,
-58.3677380435463,-34.6068496155036,3853.0,B-CR-03853,,,Huergo Ing. Av. y La Rábida ,,Coordenada,Huergo- La Rábida Sur (Sda. Comando),4.0,TITILANTE A PEDIDO DE GCBA,Titilante por obra,Hasta la finalización de Obra de Paseo del Bajo- Abril 2025,8,CRUCE SEMAFORIZADO,"HUERGO, ING. AV.",,San Nicolas,Comuna 1,,
-58.3680499990664,-34.6040700007841,3855.0,B-CR-03855,,,Madero Eduardo Av. y Sarmiento,,Coordenada,Madero Eduardo Av.-Sarmiento,4.0,TITILANTE POR OBRA,Titilante por obra,Hasta la finalización de Obra de Paseo del Bajo- Abril 2019,9,CRUCE SEMAFORIZADO,"MADERO, EDUARDO AV.",,San Nicolas,Comuna 1,,
-58.4002833992531,-34.6248808009111,5131.0,B-CR-05131,,,Alberti y Cochabamba,,Coordenada,Alberti-Cochabamba,4.0,TITILANTE NOCTURNO,Todos los días de 22:00 a 06:00hs.,,10,CRUCE SEMAFORIZADO,ALBERTI,,San Cristobal,Comuna 3,,
-58.407214998643894,-34.6231974009702,5132.0,B-CR-05132,,,La Rioja y Humberto 1º,,Coordenada,La Rioja-Humberto 1º,4.0,TITILANTE NOCTURNO,Todos los días de 22:00 a 06:00hs.,,11,CRUCE SEMAFORIZADO,LA RIOJA,,San Cristobal,Comuna 3,,
-58.3981955990197,-34.6218842011169,5135.0,B-CR-05135,,,Humberto 1º y Pichincha,,Coordenada,Humberto Iº-Pichincha,4.0,TITILANTE NOCTURNO,Todos los días de 22:00 a 06:00hs.,,12,CRUCE SEMAFORIZADO,HUMBERTO 1\u00b0,,San Cristobal,Comuna 3,,
-58.4017711986874,-34.6210302008895,5139.0,B-CR-05139,,,Calvo Carlos y Saavedra,,Coordenada,Calvo Carlos-Saavedra,4.0,TITILANTE NOCTURNO,Todos los días de 22:00 a 06:00hs.,,13,CRUCE SEMAFORIZADO,"CALVO, CARLOS",,San Cristobal,Comuna 3,,
-58.409219498640006,-34.6212564006618,5154.0,B-CR-05154,,,Estados Unidos y Urquiza Gral.,,Coordenada,Estados Unidos-Gral Urquiza,4.0,TITILANTE NOCTURNO,Todos los días de 22:00 a 06:00hs.,,14,CRUCE SEMAFORIZADO,ESTADOS UNIDOS,,San Cristobal,Comuna 3,,
-58.4043124987275,-34.6227284010781,5155.0,B-CR-05155,,,Catamarca y Humberto 1º,,Coordenada,Humberto Iº-Catamarca,4.0,TITILANTE NOCTURNO,Todos los días de 22:00 a 06:00hs.,,15,CRUCE SEMAFORIZADO,CATAMARCA,,San Cristobal,Comuna 3,,
-58.4091165992636,-34.6223858007944,5157.0,B-CR-05157,,,Calvo Carlos y Urquiza Gral.,,Coordenada,C.Calvo - Urquiza,4.0,TITILANTE NOCTURNO,Todos los días de 22:00 a 06:00hs.,,16,CRUCE SEMAFORIZADO,"CALVO, CARLOS",,San Cristobal,Comuna 3,,
-58.3985023987644,-34.620776700948504,5191.0,B-CR-05191,,,Calvo Carlos y Pichincha,,Coordenada,Calvo Carlos-Pichincha,4.0,TITILANTE NOCTURNO,Todos los días de 22:00 a 06:00hs.,,17,CRUCE SEMAFORIZADO,"CALVO, CARLOS",,San Cristobal,Comuna 3,,
-58.360274098511894,-34.6389919003578,8228.0,B-CR-08228,,,Don Pedro de Mendoza Av. y Palos,,Coordenada,Pedro de Mendoza-Palos,4.0,TITILANTE NOCTURNO,Todos los días de 22:00 a 06:00hs.,,19,CRUCE SEMAFORIZADO,DON PEDRO DE MENDOZA AV.,,Boca,Comuna 4,,
-58.3678752992206,-34.5992097009372,8929.0,B-CR-08929,,,Moreau de Justo Alicia Av. y Sánchez de Thompson M.,,Coordenada,Moreau de Justo Alicia Av.-Sánchez de Thompson M. (Viamonte),4.0,TITILANTE POR OBRA,Titilante por obra,Hasta la finalización de Obra de Paseo del Bajo- Abril 2019,20,CRUCE SEMAFORIZADO,"MOREAU DE JUSTO, ALICIA AV.",,Puerto Madero,Comuna 1,,
-58.366258098584204,-34.611841301192,8934.0,B-CR-08934,,,Moreau de Justo Alicia Av. 840,,Coordenada,Moreau de Justo Alicia Av.-Fte. Nº 840 (Altura Rivadavia),4.0,TITILANTE POR OBRA,Titilante por obra,Hasta la finalización de Obra de Paseo del Bajo- Abril 2020,21,CRUCE SEMAFORIZADO,"MOREAU DE JUSTO, ALICIA AV.",840,Puerto Madero,Comuna 1,1107,C1107AAR
-58.3662553990819,-34.6118233008908,8935.0,B-CR-08935,,,Moreau de Justo Alicia Av. 880,,Coordenada,Moreau de Justo Alicia Av.-Fte. Nº 880 (Altura H. Yrigoyen),4.0,TITILANTE POR OBRA,Titilante por obra,Hasta la finalización de Obra de Paseo del Bajo- Abril 2021,22,CRUCE SEMAFORIZADO,"MOREAU DE JUSTO, ALICIA AV.",880,Puerto Madero,Comuna 1,1107,C1107AAR
-58.366218999069204,-34.609460600692,8936.0,B-CR-08936,,,Moreau de Justo Alicia Av. 1020,,Coordenada,Moreau de Justo Alicia Av.-Fte. Nº 1020 (Altura Alsina Adolfo),4.0,TITILANTE POR OBRA,Titilante por obra,Hasta la finalización de Obra de Paseo del Bajo- Abril 2022,23,CRUCE SEMAFORIZADO,"MOREAU DE JUSTO, ALICIA AV.",1020,Puerto Madero,Comuna 1,1107,C1107AAV
-58.3663399993228,-34.6121300009368,8938.0,B-CR-08938,,,Moreau de Justo Alicia Av. y Villaflor Azucena,,Coordenada,Av. A. M. de Justo- A. Villaflor,4.0,TITILANTE A PEDIDO DE GCBA,Titilante por obra,Hasta la finalización de Obra de Paseo del Bajo- Abril 2021,24,CRUCE SEMAFORIZADO,"MOREAU DE JUSTO, ALICIA AV.",,Puerto Madero,Comuna 1,,
-58.3959169990596,-34.5998246007638,8940.0,B-CR-08940,,,Moreau de Justo Alicia Av. 13,,Coordenada,Av. A. M. de Justo- Alt. México,4.0,APAGADO A PEDIDO DE GCBA,Apagado por obra,Hasta la finalización de Obra de Paseo del Bajo- Abril 2023,25,CRUCE SEMAFORIZADO,"MOREAU DE JUSTO, ALICIA AV.",13,Balvanera,Comuna 3,1107,C1107AAA
-58.3659999986802,-34.6155600006297,8941.0,B-CR-08941,,,Moreau de Justo Alicia Av. y Chile,,Coordenada,Av. A. M. de Justo- P. Eyle,4.0,TITILANTE A PEDIDO DE GCBA,Titilante por obra,Hasta la finalización de Obra de Paseo del Bajo- Abril 2020,26,CRUCE SEMAFORIZADO,,,Puerto Madero,Comuna 1,,
-58.3674772985896,-34.6006685011192,8945.0,B-CR-08945,,,Moreau de Justo Alicia Av. 193,,Coordenada,Av. A. M. de Justo- Alt. San Juan,4.0,TITILANTE A PEDIDO DE GCBA,Titilante por obra,Hasta la finalización de Obra de Paseo del Bajo- Abril 2019,27,CRUCE SEMAFORIZADO,"MOREAU DE JUSTO, ALICIA AV.",193,Puerto Madero,Comuna 1,1107,C1107AAC
